race,driver,Cluster,Percentage_of_Lap,Min,Max,Avg
CAN,HAM,0,25.34740587584748,7629.289723472094,9931.0,8814.973767430514
CAN,HAM,1,12.797518872914363,3527.0,7629.0,6435.820186633589
CAN,HAM,2,61.855075251238155,9931.81479808,12642.0,11043.358515076374
