race,driver,variable,Cluster,Percentage_of_Lap,Min,Max,Avg
Canadian_Grand_Prix,ALB,acc_x,0,4.761904761904762,-31.55198954119814,14.24989859903458,0.35869916898263887
Canadian_Grand_Prix,ALB,acc_x,1,14.285714285714285,-31.84316744202484,13.836396472065768,0.15801359616958463
Canadian_Grand_Prix,ALB,acc_x,2,7.142857142857142,-34.24590499592475,13.464200974849788,0.23172978624282015
Canadian_Grand_Prix,ALB,acc_x,3,54.761904761904766,-34.7992876560485,14.319133796547838,0.297668631164827
Canadian_Grand_Prix,ALB,acc_x,4,19.047619047619047,-34.24590499592475,14.319133796547838,0.2284519579251998
Canadian_Grand_Prix,ALB,acc_y,0,4.761904761904762,-54.29358159267313,34.02829016240138,-4.444225898804331
Canadian_Grand_Prix,ALB,acc_y,1,14.285714285714285,-33.10563061376448,27.631390515350557,-2.1778617320658893
Canadian_Grand_Prix,ALB,acc_y,2,7.142857142857142,-31.021142638493362,29.585350025005468,-1.2025194750708612
Canadian_Grand_Prix,ALB,acc_y,3,54.761904761904766,-54.29358159267313,34.02829016240138,-2.743744605784728
Canadian_Grand_Prix,ALB,acc_y,4,19.047619047619047,-31.45689475682143,34.02829016240138,-2.1206674284828337
Canadian_Grand_Prix,ALB,acc_z,0,4.761904761904762,-34.986694293887346,36.97209962346202,0.7071511029673613
Canadian_Grand_Prix,ALB,acc_z,1,14.285714285714285,-35.34695394185167,35.060353602730814,0.8344454329383696
Canadian_Grand_Prix,ALB,acc_z,2,7.142857142857142,-42.05405204042848,35.86101446899311,3.0518893800520352
Canadian_Grand_Prix,ALB,acc_z,3,54.761904761904766,-42.05405204042848,41.29024985037991,-1.5964417951331817
Canadian_Grand_Prix,ALB,acc_z,4,19.047619047619047,-42.05405204042848,47.81755613999981,0.29393669102207215
Canadian_Grand_Prix,ALO,acc_x,0,3.225806451612903,-29.11468138539129,14.611371362962966,0.10036436718680579
Canadian_Grand_Prix,ALO,acc_x,1,24.193548387096776,-34.41791524898371,14.07084002064721,0.23870314009802102
Canadian_Grand_Prix,ALO,acc_x,2,16.129032258064516,-33.450141442159435,14.611371362962966,0.4077026855220207
Canadian_Grand_Prix,ALO,acc_x,3,33.87096774193548,-34.41791524898371,14.611371362962966,0.2603157358320266
Canadian_Grand_Prix,ALO,acc_x,4,22.58064516129032,-34.41791524898371,14.60778752389745,0.3125550907248523
Canadian_Grand_Prix,ALO,acc_y,0,3.225806451612903,-60.085600818310596,44.992193459322436,-3.6356821503823156
Canadian_Grand_Prix,ALO,acc_y,1,24.193548387096776,-34.77766795298687,29.560430229515042,-2.2043114815672067
Canadian_Grand_Prix,ALO,acc_y,2,16.129032258064516,-60.085600818310596,44.992193459322436,-2.5887680021179977
Canadian_Grand_Prix,ALO,acc_y,3,33.87096774193548,-34.937996713821875,35.73525931674021,-2.4728116149532693
Canadian_Grand_Prix,ALO,acc_y,4,22.58064516129032,-34.77766795298687,29.560430229515042,-2.1686825035106043
Canadian_Grand_Prix,ALO,acc_z,0,3.225806451612903,-30.322757706725515,36.080018463582476,0.5685456004370152
Canadian_Grand_Prix,ALO,acc_z,1,24.193548387096776,-50.559385290381,46.51988797024891,0.9771353108560663
Canadian_Grand_Prix,ALO,acc_z,2,16.129032258064516,-50.559385290381,46.51988797024891,2.2121126354776166
Canadian_Grand_Prix,ALO,acc_z,3,33.87096774193548,-43.37740341137713,46.51988797024891,-0.8852888032071027
Canadian_Grand_Prix,ALO,acc_z,4,22.58064516129032,-41.270575772035556,38.02714491484977,0.3166849945758184
Canadian_Grand_Prix,ANT,acc_x,0,3.225806451612903,-38.0967157201318,17.529126292256223,-0.009738618739124955
Canadian_Grand_Prix,ANT,acc_x,1,8.064516129032258,-33.50004473072107,15.267658368751327,0.8741364781529622
Canadian_Grand_Prix,ANT,acc_x,2,16.129032258064516,-38.0967157201318,17.529126292256223,0.46056469463418254
Canadian_Grand_Prix,ANT,acc_x,3,40.32258064516129,-38.0967157201318,16.922580038265835,0.31542660691599334
Canadian_Grand_Prix,ANT,acc_x,4,32.25806451612903,-36.342412946519936,15.267658368751327,0.31261779644660825
Canadian_Grand_Prix,ANT,acc_y,0,3.225806451612903,-68.05867727228177,40.11201869668277,-4.853836639049738
Canadian_Grand_Prix,ANT,acc_y,1,8.064516129032258,-34.14692508634428,28.998745297888192,-2.241461198871236
Canadian_Grand_Prix,ANT,acc_y,2,16.129032258064516,-37.01790957281094,40.11201869668277,-1.840815602641226
Canadian_Grand_Prix,ANT,acc_y,3,40.32258064516129,-68.05867727228177,40.11201869668277,-2.9326108173766063
Canadian_Grand_Prix,ANT,acc_y,4,32.25806451612903,-35.29308398831885,31.917827303261838,-2.576364981584505
Canadian_Grand_Prix,ANT,acc_z,0,3.225806451612903,-43.11812468387169,36.65722288102409,0.13983563501438906
Canadian_Grand_Prix,ANT,acc_z,1,8.064516129032258,-37.00980038090925,45.3688563581941,4.879221417574589
Canadian_Grand_Prix,ANT,acc_z,2,16.129032258064516,-43.11812468387169,44.4478334288918,2.9845157762145047
Canadian_Grand_Prix,ANT,acc_z,3,40.32258064516129,-43.11812468387169,44.4478334288918,-1.3818788995345659
Canadian_Grand_Prix,ANT,acc_z,4,32.25806451612903,-41.93035102951434,45.3688563581941,0.063072781478017
Canadian_Grand_Prix,BEA,acc_x,0,3.225806451612903,-32.614059054673675,14.470403478541584,0.350054521672422
Canadian_Grand_Prix,BEA,acc_x,1,43.54838709677419,-33.94206465007592,14.470403478541584,0.3357716301500281
Canadian_Grand_Prix,BEA,acc_x,2,9.67741935483871,-34.642394026858135,14.470403478541584,0.399422219050046
Canadian_Grand_Prix,BEA,acc_x,3,20.967741935483872,-37.52903515647976,14.527956977328593,0.2794564059998872
Canadian_Grand_Prix,BEA,acc_x,4,22.58064516129032,-37.52903515647976,14.527956977328593,0.5494678601386455
Canadian_Grand_Prix,BEA,acc_y,0,3.225806451612903,-59.44548823644998,47.41945600158642,-4.374385885642711
Canadian_Grand_Prix,BEA,acc_y,1,43.54838709677419,-34.80506969094257,29.908661447488235,-2.1716327404159492
Canadian_Grand_Prix,BEA,acc_y,2,9.67741935483871,-59.44548823644998,47.41945600158642,-2.7534803151615166
Canadian_Grand_Prix,BEA,acc_y,3,20.967741935483872,-34.12714365933476,29.07463915042854,-2.378228235562429
Canadian_Grand_Prix,BEA,acc_y,4,22.58064516129032,-34.12714365933476,29.07463915042854,-2.751670241000399
Canadian_Grand_Prix,BEA,acc_z,0,3.225806451612903,-25.081664052403152,28.329065396043706,0.15303381593114973
Canadian_Grand_Prix,BEA,acc_z,1,43.54838709677419,-50.9445859833503,47.76034461241273,0.8743061889335891
