race,driver,Cluster,Percentage_of_Lap,Min,Max,Avg
CAN,HAM,0,33.05524835312785,0.0,152.0500032,109.7411632855336
CAN,HAM,1,38.92147905947973,234.01999616,337.0,273.6212024914688
CAN,HAM,2,28.023272587392412,152.0875008,234.0,194.20110232316097
