race,driver,Cluster,Percentage_of_Lap,Min,Max,Avg
CAN,HAM,0,31.422801365581577,0.0,50.7749952,9.419953029995622
CAN,HAM,1,68.57719863441842,50.8000512,100.0,92.15576498887876
